,school_name,country
654,University of Brasília,Brazil
655,University of Brighton,United Kingdom
656,University of Bucharest,Romania
657,Budapest University of Technology and Economics,Hungary
658,Cairo University,Egypt
659,University of Calcutta,India
660,"California State University, Long Beach",United States of America
661,Capital Medical University,China
662,University of Castilla-La Mancha,Spain
663,University of Central Lancashire,United Kingdom
664,University of Cergy-Pontoise,France
665,Chang Gung University,Taiwan
666,Carlos III University of Madrid,Spain
667,"University of Chemistry and Technology, Prague",Czech Republic
668,Chiang Mai University,Thailand
669,Chiba University,Japan
670,China University of Geosciences (Wuhan),China
671,China University of Petroleum (Beijing),China
672,Chonbuk National University,South Korea
673,Chongqing University,China
674,Chonnam National University,South Korea
675,Chulalongkorn University,Thailand
676,Chung Yuan Christian University,Taiwan
677,Chungnam National University,South Korea
678,Comenius University in Bratislava,Slovakia
679,Coventry University,United Kingdom
680,Dalian University of Technology,China
681,University of Debrecen,Hungary
682,University of Delhi,India
683,University of Dhaka,Bangladesh
684,Dublin Institute of Technology,Republic of Ireland
685,Ehime University,Japan
686,University of Electronic Science and Technology of China,China
687,Eötvös Loránd University,Hungary
688,Erciyes University,Turkey
689,Federal University of Bahia,Brazil
690,Federal University of Minas Gerais,Brazil
691,Federal University of Paraná (UFPR),Brazil
692,Federal University of Rio Grande do Sul,Brazil
693,Federal University of Santa Catarina,Brazil
694,Federal University of São Carlos,Brazil
695,Federal University of Viçosa,Brazil
696,Federal University of Lavras,Brazil
697,Feng Chia University,Taiwan
698,Fu Jen Catholic University,Taiwan
699,Gdańsk University of Technology,Poland
700,University of Ghana,Ghana
701,Gifu University,Japan
702,Glasgow Caledonian University,United Kingdom
703,University of Greenwich,United Kingdom
704,Hacettepe University,Turkey
705,University of Huddersfield,United Kingdom
706,Hunan University,China
707,University of Ibadan,Nigeria
708,University of Indonesia,Indonesia
709,Inha University,South Korea
710,I-Shou University,Taiwan
711,Istanbul University,Turkey
712,Jilin University,China
713,University of Jordan,Jordan
714,Jordan University of Science and Technology,Jordan
715,Juntendo University,Japan
716,K.N. Toosi University of Technology,Iran
717,Kaohsiung Medical University,Taiwan
718,Khon Kaen University,Thailand
719,Kingston University,United Kingdom
720,Kinki University,Japan
721,Konkuk University,South Korea
722,Kumamoto University,Japan
723,Kyungpook National University,South Korea
724,Kyushu Institute of Technology,Japan
725,University of Latvia,Latvia
726,Lille 1 University – Science and Technology,France
727,University of Lincoln,United Kingdom
728,University of Ljubljana,Slovenia
729,Miami University,United States of America
730,Middlesex University,United Kingdom
731,Moscow Institute of Physics and Technology,Russian Federation
732,University of Murcia,Spain
733,Nagasaki University,Japan
734,University of Nairobi,Kenya
735,National Chengchi University,Taiwan
736,National Chung Cheng University,Taiwan
737,National Chung Hsing University,Taiwan
738,National Taipei University of Technology,Taiwan
739,National University of Córdoba,Argentina
740,National University of Science and Technology (MISiS),Russian Federation
741,National University of Sciences and Technology,Pakistan
742,Niigata University,Japan
743,Northumbria University,United Kingdom
744,Northwestern Polytechnical University,China
745,Nottingham Trent University,United Kingdom
746,Oakland University,United States of America
747,Ocean University of China,China
748,Ohio University,United States of America
749,Okayama University,Japan
750,Osaka Prefecture University,Japan
751,University of Pardubice,Czech Republic
752,Paris-Sorbonne University – Paris 4,France
753,University of Patras,Greece
754,University of Pécs,Hungary
755,Pontifical Catholic University of Paraná,Brazil
756,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil
757,Pontifical Catholic University of Valparaíso,Chile
758,Prince of Songkla University,Thailand
759,Qatar University,Qatar
760,Rio de Janeiro State University (UERJ),Brazil
761,Rochester Institute of Technology,United States of America
762,Saitama University,Japan
763,University of Salford,United Kingdom
764,"University of Santiago, Chile (USACH)",Chile
765,São Paulo State University (UNESP),Brazil
766,Savitribai Phule Pune University,India
767,University of Science and Technology Beijing,China
768,Sejong University,South Korea
769,Shahid Beheshti University,Iran
770,Shanghai University,China
771,Shantou University,China
772,Sheffield Hallam University,United Kingdom
773,Shinshu University,Japan
774,Showa University,Japan
775,Sichuan University,China
776,University of Silesia in Katowice,Poland
777,Slovak University of Technology in Bratislava,Slovakia
778,Sogang University,South Korea
779,Sophia University,Japan
780,University of South Africa,South Africa
781,Southern Federal University,Russian Federation
782,University of Southern Mississippi,United States of America
783,University of Southern Queensland,Australia
784,Suez Canal University,Egypt
785,Sultan Qaboos University,Oman
786,Suranaree University of Technology,Thailand
787,University of Szeged,Hungary
788,Taipei Medical University,Taiwan
789,Taras Shevchenko National University of Kyiv,Ukraine
