,world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
67,67,Moscow State University,1,28.4,51.4,34.9,0.0,7.5,54.0,31.6,2005
68,69,Case Western Reserve University,43,28.3,40.7,11.8,20.8,23.0,44.8,33.7,2005
69,69,University of Oslo,1,28.3,25.9,34.1,17.6,18.2,41.5,26.4,2005
70,71,University of Heidelberg,3,28.0,10.9,27.7,20.8,20.9,48.1,26.9,2005
71,72,Leiden University,2,27.9,25.1,15.8,27.2,19.3,46.7,28.1,2005
72,73,Tohoku University,4,27.8,18.8,0.0,19.2,26.9,65.3,29.0,2005
73,73,University of Arizona,44,27.8,0.0,0.0,29.4,36.8,55.8,25.7,2005
74,75,Purdue University - West Lafayette,45,27.7,18.8,17.1,27.2,21.4,49.8,19.4,2005
75,76,University of Helsinki,1,27.4,18.8,18.2,15.7,21.4,54.5,27.5,2005
76,77,Michigan State University,46,26.9,12.5,0.0,37.7,26.6,51.0,18.7,2005
77,78,Rice University,47,26.2,21.7,22.3,23.6,24.4,30.8,31.0,2005
78,78,The Hebrew University of Jerusalem,1,26.2,33.2,0.0,23.6,27.1,46.6,26.9,2005
79,80,Boston University,48,26.1,15.4,0.0,31.4,28.1,50.8,17.5,2005
80,80,King's College London,9,26.1,16.6,23.5,20.8,17.4,44.6,24.8,2005
81,82,University of Melbourne,2,26.0,15.4,14.4,22.2,18.7,53.5,19.9,2005
82,83,University of Nottingham,10,25.9,15.4,20.4,20.8,19.0,45.6,24.8,2005
83,84,University of Goettingen,4,25.8,38.7,20.4,15.7,17.5,40.2,24.5,2005
84,85,University of Vienna,1,25.6,25.1,15.8,7.9,22.7,52.2,26.4,2005
85,86,Brown University,49,25.4,0.0,13.9,29.4,25.5,40.7,27.9,2005
86,87,Indiana University Bloomington,50,25.2,14.0,18.2,24.8,21.2,42.0,18.2,2005
87,87,University of Basel,3,25.2,25.9,17.5,19.2,21.4,34.5,33.8,2005
88,89,Texas A&M University - College Station,51,25.1,0.0,0.0,32.4,24.4,55.0,20.4,2005
89,90,McMaster University,4,24.9,16.6,19.3,22.2,15.9,43.5,23.9,2005
90,90,University of Freiburg,5,24.9,25.1,21.4,17.6,18.2,39.5,23.2,2005
91,92,University of Strasbourg,3,24.7,29.4,22.9,19.2,19.5,32.7,22.4,2005
92,93,Ecole Normale Superieure - Paris,4,24.6,47.8,25.0,13.6,18.1,27.2,23.3,2005
93,93,Stockholm University,3,24.6,29.4,30.2,15.7,14.3,35.3,18.9,2005
94,93,Tokyo Institute of Technology,5,24.6,16.6,0.0,22.2,22.5,50.6,31.5,2005
95,93,University of Utah,52,24.6,0.0,0.0,30.4,31.4,45.5,24.8,2005
96,97,University of Roma - La Sapienza,1,24.5,16.6,15.8,11.1,21.8,54.6,15.1,2005
97,98,University of Birmingham,11,24.4,25.1,11.2,22.2,13.4,47.0,24.5,2005
98,99,Lund University,4,24.3,29.4,0.0,24.8,19.4,50.1,18.1,2005
99,100,Tufts University,53,23.9,18.8,17.1,20.8,19.1,37.4,25.2,2005
100,101-152,Aarhus University,2,,15.4,19.3,7.9,22.3,41.6,22.4,2005
101,101-152,Arizona State University - Tempe,54-71,,0.0,14.4,20.8,26.3,41.9,17.5,2005
102,101-152,Baylor College of Medicine,54-71,,0.0,0.0,17.6,34.5,44.0,24.9,2005
103,101-152,Catholic University of Leuven,1-4,,0.0,0.0,19.2,16.0,48.7,23.1,2005
104,101-152,Catholic University of Louvain,1-4,,14.0,13.9,13.6,8.3,44.7,26.9,2005
105,101-152,College of France,5,,15.4,37.4,11.1,11.7,16.9,19.3,2005
106,101-152,Dartmouth College,54-71,,24.3,0.0,20.8,22.0,33.0,29.1,2005
107,101-152,Emory University,54-71,,0.0,0.0,28.3,19.0,48.4,21.6,2005
108,101-152,Georgia Institute of Technology,54-71,,16.6,0.0,23.6,19.0,43.9,25.8,2005
109,101-152,Ghent University,1-4,,8.9,15.8,15.7,9.1,48.8,27.2,2005
110,101-152,Hokkaido University,6-9,,0.0,0.0,15.7,14.1,53.8,21.5,2005
111,101-152,Kyushu University,6-9,,0.0,0.0,13.6,21.3,52.8,21.6,2005
112,101-152,Mayo Medical School,54-71,,0.0,0.0,27.2,6.2,50.2,24.4,2005
113,101-152,Nagoya University,6-9,,0.0,14.4,15.7,20.5,52.3,25.1,2005
114,101-152,National University of Singapore,1,,0.0,0.0,15.7,13.8,56.7,25.7,2005
115,101-152,North Carolina State University - Raleigh,54-71,,0.0,0.0,29.4,17.8,44.3,19.0,2005
116,101-152,Oregon State University,54-71,,15.4,0.0,24.8,25.7,36.6,27.1,2005
117,101-152,Seoul National University,1,,0.0,0.0,7.9,14.6,61.2,26.9,2005
118,101-152,State University of New York at Stony Brook,54-71,,0.0,0.0,17.6,31.4,40.7,20.5,2005
119,101-152,Technion-Israel Institute of Technology,2-4,,18.8,23.5,13.6,14.1,42.1,22.8,2005
120,101-152,Tel Aviv University,2-4,,0.0,0.0,24.8,20.1,54.7,26.9,2005
121,101-152,The University of Georgia,54-71,,0.0,0.0,28.3,21.1,46.4,18.4,2005
122,101-152,The University of Glasgow,12-15,,10.9,0.0,19.2,17.1,44.4,22.1,2005
123,101-152,The University of Queensland,3-4,,16.6,0.0,7.9,19.9,50.1,18.9,2005
124,101-152,University Libre Bruxelles,1-4,,28.1,19.3,0.0,12.8,37.8,29.1,2005
125,101-152,University of Alberta,5,,15.4,0.0,17.6,17.4,55.1,26.1,2005
126,101-152,University of Amsterdam,3-4,,8.9,0.0,19.2,22.2,50.1,23.1,2005
127,101-152,University of Bonn,6-11,,19.8,20.4,15.7,11.3,41.3,22.0,2005
128,101-152,"University of California, Riverside",54-71,,0.0,0.0,28.3,25.9,36.5,27.0,2005
129,101-152,"University of California, Santa Cruz",54-71,,0.0,0.0,28.3,28.5,31.1,29.2,2005
130,101-152,University of Frankfurt,6-11,,36.6,9.1,17.6,16.5,37.9,22.4,2005
131,101-152,University of Geneva,4,,29.4,0.0,19.2,23.8,33.7,23.1,2005
132,101-152,University of Groningen,3-4,,0.0,20.4,13.6,18.5,43.2,19.8,2005
133,101-152,University of Hamburg,6-11,,16.6,0.0,17.6,20.7,40.9,21.4,2005
134,101-152,University of Hawaii at Manoa,54-71,,0.0,0.0,27.2,30.1,36.8,22.2,2005
135,101-152,University of Illinois at Chicago,54-71,,0.0,0.0,28.3,18.5,46.9,21.5,2005
136,101-152,University of Iowa,54-71,,0.0,0.0,31.4,22.7,50.8,20.9,2005
137,101-152,University of Leeds,12-15,,22.6,0.0,11.1,22.9,45.0,23.0,2005
138,101-152,University of Liverpool,12-15,,23.5,15.8,13.6,18.1,42.4,22.6,2005
139,101-152,University of Massachusetts Amherst,54-71,,17.7,0.0,33.3,24.3,38.0,23.0,2005
140,101-152,University of Miami,54-71,,0.0,0.0,26.1,16.4,41.7,23.4,2005
141,101-152,University of Milan,2-3,,22.6,0.0,15.7,14.2,49.7,19.1,2005
142,101-152,University of Muenster,6-11,,25.1,15.8,11.1,14.8,38.3,20.7,2005
143,101-152,University of Pisa,2-3,,18.8,24.1,11.1,8.7,40.6,18.4,2005
144,101-152,University of Sao Paulo,1,,0.0,0.0,11.1,11.0,63.5,27.8,2005
145,101-152,University of Sussex,12-15,,0.0,23.2,19.2,15.9,28.8,19.0,2005
146,101-152,University of Sydney,3-4,,19.8,0.0,19.2,17.8,54.5,19.7,2005
147,101-152,University of Tsukuba,6-9,,0.0,20.4,13.6,12.7,42.9,21.3,2005
148,101-152,University of Tuebingen,6-11,,29.4,0.0,15.7,22.4,43.7,23.6,2005
149,101-152,University of Virginia,54-71,,0.0,0.0,29.4,23.6,47.9,24.0,2005
150,101-152,University of Wuerzburg,6-11,,25.1,9.1,22.2,16.9,37.9,21.7,2005
151,101-152,Weizmann Institute of Science,2-4,,0.0,0.0,26.1,35.1,33.6,23.4,2005
152,153-202,Autonomous University of Madrid,1-2,,19.8,0.0,13.6,11.4,36.3,18.2,2005
153,153-202,Brandeis University,72-90,,25.1,0.0,7.9,26.1,20.3,27.4,2005
154,153-202,Cardiff University,16-19,,0.0,0.0,13.6,17.0,42.5,20.3,2005
155,153-202,Colorado State University,72-90,,0.0,0.0,27.2,14.8,37.6,21.7,2005
156,153-202,Erasmus University,5-7,,0.0,15.8,15.7,11.0,29.8,17.0,2005
157,153-202,Florida State University,72-90,,0.0,0.0,22.2,17.1,37.9,18.4,2005
158,153-202,Iowa State University,72-90,,0.0,0.0,24.8,11.5,45.0,18.4,2005
159,153-202,Joseph Fourier University (Grenoble 1),6-8,,0.0,15.8,11.1,14.4,32.5,17.2,2005
160,153-202,Mount Sinai School of Medicine,72-90,,0.0,0.0,19.2,18.3,34.0,18.3,2005
161,153-202,National Autonomous University of Mexico,1,,16.6,0.0,7.9,15.1,49.0,22.6,2005
162,153-202,National Taiwan University,1,,15.4,0.0,7.9,7.3,53.2,15.8,2005
163,153-202,Oregon Health and Science University,72-90,,0.0,0.0,17.6,23.9,35.2,19.6,2005
164,153-202,Queen's University,6-8,,0.0,0.0,19.2,17.0,35.2,18.5,2005
165,153-202,Rensselaer Polytechnic Institute,72-90,,16.6,0.0,19.2,12.2,26.8,24.7,2005
166,153-202,Swiss Federal Institute of Technology of Lausanne,5-6,,0.0,0.0,17.6,18.1,38.7,38.7,2005
167,153-202,Technical University of Denmark,3,,8.9,12.9,17.6,11.8,30.6,16.9,2005
168,153-202,The University of Alabama at Birmingham,72-90,,0.0,0.0,17.6,14.2,43.5,23.2,2005
