,world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
1049,50,University of Southern California,37,31.4,0.0,26.8,37.1,23.4,52.7,25.9,2007
1050,51,University of Florida,38,31.1,21.2,0.0,37.1,24.8,65.5,26.5,2007
1051,52,University of Paris Sud (Paris 11),2,30.9,31.3,39.1,14.8,20.4,44.8,30.8,2007
1052,53,Karolinska Institute,1,30.8,28.8,27.3,32.3,16.6,47.0,24.5,2007
1053,53,The University of Edinburgh,6,30.8,21.2,16.7,26.7,34.2,47.0,29.3,2007
1054,53,University of Munich,1,30.8,34.8,22.9,14.8,27.1,51.8,31.1,2007
1055,56,Technical University Munich,2,30.6,40.3,23.6,25.7,20.2,44.4,29.9,2007
1056,57,The Australian National University,1,30.4,16.6,12.6,36.3,30.0,44.7,32.2,2007
1057,58,University of North Carolina at Chapel Hill,39,30.2,11.8,0.0,37.8,29.3,60.1,27.7,2007
1058,58,University of Zurich,2,30.2,11.8,26.8,22.2,28.3,48.4,31.1,2007
1059,60,Carnegie Mellon University,40,30.0,32.8,32.8,32.3,12.0,36.7,31.0,2007
1060,61,The Ohio State University - Columbus,41,29.5,16.6,0.0,41.9,22.0,61.2,19.8,2007
1061,62,University of Bristol,7,29.4,10.2,17.9,29.6,26.7,47.3,32.8,2007
1062,63,McGill University,3,29.3,27.0,0.0,29.6,24.2,58.7,32.7,2007
1063,64,The Hebrew University of Jerusalem,1,29.0,31.1,20.0,24.6,23.3,43.6,28.2,2007
1064,65,University of Heidelberg,3,28.9,18.6,27.2,18.2,22.8,48.7,29.0,2007
1065,66,Uppsala University,2,28.8,24.3,32.2,12.8,23.6,49.1,21.0,2007
1066,67,Osaka University,3,28.6,11.8,0.0,24.6,30.4,64.0,28.5,2007
1067,68,Purdue University - West Lafayette,42,28.3,17.6,16.7,29.6,20.9,51.3,20.2,2007
1068,69,University of Oslo,1,28.2,24.3,33.4,18.2,16.8,42.5,27.9,2007
1069,70,Brown University,43,28.1,17.6,13.6,31.4,28.2,39.9,29.6,2007
1070,71,Leiden University,2,28.0,23.5,15.5,28.7,20.9,45.2,28.2,2007
1071,72,The University of Sheffield,8,27.9,22.0,14.1,22.2,27.8,46.0,29.5,2007
1072,73,University of Helsinki,1,27.8,17.6,17.9,19.6,21.7,52.7,28.9,2007
1073,74,University of Arizona,44,27.6,0.0,0.0,29.6,37.1,54.6,25.7,2007
1074,75,University of Rochester,45,27.4,31.1,8.9,26.7,21.5,43.1,35.2,2007
1075,76,Moscow State University,1,27.1,51.6,34.2,0.0,7.5,48.5,31.6,2007
1076,76,Tohoku University,4,27.1,17.6,0.0,22.2,23.7,63.0,28.3,2007
1077,78,Case Western Reserve University,46,26.8,38.1,11.5,21.0,19.6,43.0,32.2,2007
1078,79,University of Melbourne,2,26.6,14.4,14.1,22.2,18.4,55.1,25.0,2007
1079,80,Michigan State University,47,26.1,11.8,0.0,36.3,24.6,51.0,18.4,2007
1080,81,University of Nottingham,9,26.0,14.4,20.0,24.6,16.2,44.8,27.3,2007
1081,82,University of Basel,3,25.9,24.3,17.1,21.0,22.9,35.6,35.1,2007
1082,83,Boston University,48,25.5,14.4,0.0,30.6,27.1,50.4,17.3,2007
1083,83,Ecole Normale Superieure - Paris,3,25.5,48.5,31.6,12.8,16.8,25.8,25.8,2007
1084,83,King's College London,10,25.5,15.6,23.1,19.6,15.4,45.1,26.6,2007
1085,86,Stockholm University,3,25.3,27.6,29.6,16.6,17.2,36.4,19.4,2007
1086,87,McMaster University,4,25.0,15.6,18.9,22.2,14.3,45.4,25.7,2007
1087,87,Rice University,49,25.0,20.4,21.9,22.2,22.3,30.0,29.8,2007
1088,87,University of Goettingen,4,25.0,36.3,20.0,14.8,16.3,39.7,25.2,2007
1089,90,Indiana University Bloomington,50,24.9,13.2,17.9,27.7,20.0,39.9,18.0,2007
1090,91,Texas A&M University - College Station,51,24.8,0.0,0.0,33.1,23.6,53.7,20.3,2007
1091,92,University of Birmingham,11,24.5,23.5,10.9,22.2,15.4,45.3,26.9,2007
1092,93,University of Utah,52,24.3,0.0,0.0,30.6,27.6,47.5,25.0,2007
1093,94,Nagoya University,5,24.1,0.0,14.1,18.2,22.3,50.0,25.0,2007
1094,94,University of Freiburg,5,24.1,23.5,20.9,16.6,18.9,37.4,23.6,2007
1095,96,Arizona State University - Tempe,53,24.0,0.0,14.1,24.6,26.1,42.7,18.2,2007
1096,97,Lund University,4,23.9,27.6,0.0,23.4,19.1,50.7,18.0,2007
1097,97,University of Iowa,54,23.9,0.0,0.0,34.0,22.2,49.6,21.1,2007
1098,99,Tokyo Institute of Technology,6,23.8,15.6,0.0,22.2,23.9,46.9,30.4,2007
1099,99,University of Bonn,6,23.8,18.6,20.0,14.8,16.9,42.6,24.2,2007
1100,99,University of Strasbourg,4,23.8,27.6,22.5,16.6,18.5,32.8,22.9,2007
1101,102-150,Aarhus University,2,,14.4,18.9,7.4,24.3,40.8,23.7,2007
1102,102-150,Baylor College of Medicine,55-70,,0.0,0.0,16.6,32.5,42.9,25.4,2007
1103,102-150,Catholic University of Leuven,1-4,,0.0,0.0,21.0,16.1,48.5,23.5,2007
1104,102-150,Catholic University of Louvain,1-4,,13.2,13.6,16.6,12.9,41.5,26.6,2007
1105,102-150,Dartmouth College,55-70,,22.8,0.0,21.0,22.4,32.1,29.0,2007
1106,102-150,Emory University,55-70,,0.0,0.0,28.7,21.0,48.6,22.2,2007
1107,102-150,Georgia Institute of Technology,55-70,,15.6,0.0,24.6,22.3,44.8,27.1,2007
1108,102-150,Ghent University,1-4,,8.3,15.5,14.8,8.6,49.3,27.4,2007
1109,102-150,Hokkaido University,7,,0.0,0.0,16.6,16.6,51.5,21.3,2007
1110,102-150,Mayo Medical School,55-70,,0.0,0.0,25.7,13.7,51.8,26.8,2007
1111,102-150,National University of Singapore,1,,0.0,0.0,14.8,12.9,57.3,27.3,2007
1112,102-150,North Carolina State University - Raleigh,55-70,,0.0,0.0,28.7,17.4,43.9,18.8,2007
1113,102-150,Oregon State University,55-70,,14.4,0.0,26.7,26.9,37.7,28.5,2007
1114,102-150,Swiss Federal Institute of Technology of Lausanne,4,,0.0,0.0,21.0,17.5,39.9,40.9,2007
1115,102-150,Technion-Israel Institute of Technology,2,,17.6,23.1,14.8,15.1,39.2,23.3,2007
1116,102-150,Tel Aviv University,2,,0.0,0.0,24.6,19.1,51.3,27.1,2007
1117,102-150,The University of Georgia,55-70,,0.0,0.0,26.7,19.3,45.0,17.8,2007
1118,102-150,The University of Glasgow,12-15,,11.8,0.0,22.2,17.5,42.1,23.0,2007
1119,102-150,The University of Queensland,3,,15.6,0.0,14.8,21.8,52.7,25.5,2007
1120,102-150,The University of Western Australia,3,,16.6,14.1,19.6,11.9,39.4,26.1,2007
1121,102-150,Tufts University,55-70,,17.6,16.7,19.6,16.7,37.9,24.8,2007
1122,102-150,University Libre Bruxelles,1-4,,20.4,18.9,12.8,13.9,31.4,26.4,2007
1123,102-150,University of Alberta,5,,14.4,0.0,18.2,16.9,54.5,27.4,2007
1124,102-150,University of Amsterdam,3,,8.3,0.0,18.2,25.1,48.6,23.1,2007
1125,102-150,"University of California, Riverside",55-70,,15.6,0.0,27.7,27.3,35.8,27.8,2007
1126,102-150,"University of California, Santa Cruz",55-70,,0.0,0.0,26.7,29.7,29.3,28.7,2007
1127,102-150,University of Frankfurt,7-11,,34.3,8.9,19.6,15.5,37.5,23.4,2007
1128,102-150,University of Geneva,4,,27.6,0.0,21.0,23.3,35.0,23.8,2007
1129,102-150,University of Groningen,3,,0.0,20.0,14.8,17.5,45.8,20.8,2007
1130,102-150,University of Hamburg,7-11,,15.6,0.0,18.2,20.0,39.2,22.0,2007
1131,102-150,University of Hawaii at Manoa,55-70,,0.0,0.0,26.7,29.0,35.3,21.6,2007
1132,102-150,University of Illinois at Chicago,55-70,,0.0,0.0,26.7,15.0,47.4,21.2,2007
1133,102-150,University of Leeds,12-15,,21.2,0.0,10.5,26.1,42.2,23.6,2007
1134,102-150,University of Liverpool,12-15,,22.0,15.5,12.8,18.2,40.1,27.2,2007
1135,102-150,University of Massachusetts Amherst,55-70,,16.6,0.0,33.1,23.0,37.8,22.8,2007
1136,102-150,University of Massachusetts Medical School - Worcester,55-70,,0.0,20.0,14.8,23.9,28.2,20.1,2007
1137,102-150,University of Milan,1,,21.2,0.0,18.2,14.1,51.0,19.8,2007
1138,102-150,University of Muenster,7-11,,23.5,15.5,12.8,13.7,37.2,21.4,2007
1139,102-150,University of Paris Diderot (Paris 7),5,,17.1,13.8,14.8,19.1,35.0,20.9,2007
1140,102-150,University of Pisa,1,,17.6,23.6,14.8,5.9,39.3,18.2,2007
1141,102-150,University of Roma - La Sapienza,1,,15.6,15.5,10.5,17.9,52.6,14.4,2007
1142,102-150,University of Sao Paulo,1,,0.0,0.0,10.5,13.1,65.3,30.4,2007
1143,102-150,University of Sussex,12-15,,0.0,22.8,18.2,17.5,27.9,31.1,2007
1144,102-150,University of Sydney,3,,18.6,0.0,19.6,16.0,55.3,25.3,2007
1145,102-150,University of Tsukuba,7,,0.0,20.0,12.8,9.9,41.0,20.4,2007
1146,102-150,University of Tuebingen,7-11,,27.6,0.0,16.6,21.2,41.4,23.9,2007
1147,102-150,University of Virginia,55-70,,0.0,0.0,31.4,22.2,45.8,23.8,2007
1148,102-150,University of Wuerzburg,7-11,,23.5,8.9,23.4,14.1,37.2,22.5,2007
1149,102-150,Weizmann Institute of Science,2,,0.0,0.0,24.6,30.7,31.1,22.6,2007
1150,151-202,Cardiff University,16-23,,0.0,0.0,10.5,19.3,42.4,22.9,2007
1151,151-202,Colorado State University,71-88,,0.0,0.0,27.7,15.5,38.9,22.6,2007
1152,151-202,Delft University of Technology,5-9,,14.4,0.0,7.4,23.4,36.0,16.3,2007
1153,151-202,Erasmus University,5-9,,0.0,15.5,19.6,6.2,31.5,18.0,2007
1154,151-202,Florida State University,71-88,,0.0,0.0,21.0,22.0,39.0,19.4,2007
1155,151-202,Iowa State University,71-88,,0.0,0.0,23.4,12.2,44.0,18.1,2007
1156,151-202,Joseph Fourier University (Grenoble 1),6,,0.0,15.5,10.5,16.0,33.6,18.8,2007
1157,151-202,Kyushu University,9,,0.0,0.0,14.8,17.1,51.1,20.8,2007
1158,151-202,London School of Economics and Political Science,16-23,,18.6,0.0,16.6,,25.3,28.4,2007
1159,151-202,Mount Sinai School of Medicine,71-88,,0.0,0.0,19.6,16.0,34.5,19.3,2007
1160,151-202,National Autonomous University of Mexico,1,,15.6,0.0,7.4,14.3,48.5,23.5,2007
1161,151-202,National Taiwan University,1,,14.4,0.0,7.4,10.0,55.6,16.7,2007
1162,151-202,Oregon Health and Science University,71-88,,0.0,0.0,19.6,19.0,35.7,20.3,2007
1163,151-202,"Queen Mary, U. of London",16-23,,22.8,0.0,14.8,13.0,29.6,23.0,2007
1164,151-202,Radboud University Nijmegen,5-9,,0.0,0.0,10.5,21.4,40.6,21.1,2007
1165,151-202,Seoul National University,1,,0.0,0.0,7.4,13.5,61.4,18.4,2007
1166,151-202,State University of New York at Stony Brook,71-88,,0.0,0.0,18.2,26.8,38.4,19.2,2007
1167,151-202,Technical University of Denmark,3,,8.3,12.6,16.6,13.0,30.4,17.8,2007
1168,151-202,The University of Adelaide,6,,18.6,0.0,10.5,13.7,35.5,24.7,2007
1169,151-202,The University of Alabama at Birmingham,71-88,,0.0,0.0,16.6,14.8,43.3,23.2,2007
1170,151-202,The University of Connecticut - Storrs,71-88,,14.4,0.0,16.6,13.7,38.1,19.9,2007
1171,151-202,The University of Texas Health Science Center at Houston,71-88,,0.0,15.5,16.6,19.0,29.2,18.7,2007
1172,151-202,The University of Texas M. D. Anderson Cancer Center,71-88,,0.0,0.0,22.2,11.3,41.8,21.9,2007
1173,151-202,Tsinghua University,1,,13.2,0.0,0.0,11.6,56.3,18.0,2007
1174,151-202,University of Barcelona,1,,0.0,0.0,7.4,14.9,47.5,22.7,2007
1175,151-202,University of Bern,6,,15.6,0.0,10.5,22.4,36.8,27.1,2007
1176,151-202,University of Buenos Aires,1,,20.4,25.3,0.0,7.8,35.7,21.0,2007
1177,151-202,University of Cincinnati,71-88,,0.0,0.0,23.4,11.4,44.2,20.3,2007
1178,151-202,University of Delaware,71-88,,13.2,0.0,21.0,12.8,34.2,17.0,2007
1179,151-202,University of Durham,16-23,,0.0,0.0,18.2,17.5,34.7,30.6,2007
1180,151-202,University of East Anglia,16-23,,16.6,0.0,16.6,20.4,26.4,29.7,2007
1181,151-202,University of Kiel,12,,14.4,15.5,10.5,11.9,32.6,18.4,2007
1182,151-202,University of Koeln,12,,0.0,12.6,7.4,21.0,38.4,20.8,2007
1183,151-202,University of Leicester,16-23,,0.0,0.0,19.6,17.9,32.5,29.4,2007
1184,151-202,University of Mainz,12,,0.0,8.2,14.8,19.2,37.1,20.3,2007
1185,151-202,"University of Maryland, Baltimore",71-88,,0.0,0.0,19.6,14.6,38.1,20.4,2007
1186,151-202,University of Miami,71-88,,0.0,0.0,24.6,16.6,40.6,22.9,2007
1187,151-202,University of Montreal,6,,14.4,0.0,12.8,11.9,49.5,24.1,2007
1188,151-202,University of Nebraska - Lincoln,71-88,,22.0,0.0,16.6,12.1,36.0,18.0,2007
1189,151-202,University of New South Wales,6,,0.0,0.0,19.6,11.7,48.3,21.9,2007
1190,151-202,University of Padua,4,,0.0,0.0,12.8,18.3,47.5,17.8,2007
1191,151-202,University of Paris Descartes (Paris 5),6,,15.1,12.0,10.5,13.4,32.5,18.1,2007
1192,151-202,University of Southampton,16-23,,0.0,0.0,19.6,14.6,42.4,24.7,2007
1193,151-202,University of St Andrews,16-23,,13.2,0.0,7.4,24.7,28.8,32.3,2007
1194,151-202,University of Tennessee - Knoxville,71-88,,13.2,0.0,19.6,18.1,40.4,17.4,2007
1195,151-202,University of Turin,4,,20.4,0.0,10.5,12.8,37.8,16.9,2007
1196,151-202,University of Vienna,1,,19.5,0.0,7.4,22.3,36.4,20.5,2007
1197,151-202,University of Wageningen,5-9,,0.0,0.0,27.7,14.7,37.0,25.5,2007
1198,151-202,University of Waterloo,6,,0.0,0.0,19.6,11.3,40.6,20.9,2007
1199,151-202,Virginia Commonwealth University,71-88,,13.2,14.1,18.2,7.0,33.7,17.0,2007
1200,151-202,Virginia Polytechnic Institute and State University,71-88,,14.4,0.0,22.2,13.3,40.1,17.8,2007
1201,151-202,VU University Amsterdam,5-9,,0.0,0.0,22.2,13.9,43.5,22.7,2007
1202,203-304,Autonomous University of Madrid,2,,0.0,0.0,12.8,9.7,36.2,17.9,2007
1203,203-304,Ben-Gurion University of the Negev,5,,0.0,0.0,7.4,11.5,36.5,17.6,2007
1204,203-304,Brandeis University,89-117,,23.5,0.0,7.4,22.2,20.5,25.5,2007
1205,203-304,Chalmers University of Technology,5-9,,0.0,0.0,16.6,11.3,28.1,17.1,2007
1206,203-304,Charles University in Prague,1,,14.4,0.0,0.0,11.3,37.1,15.8,2007
1207,203-304,City University of Hong Kong,1-4,,0.0,0.0,10.5,7.0,36.1,19.1,2007
1208,203-304,City University of New York City College,89-117,,37.2,0.0,10.5,8.8,17.9,15.6,2007
1209,203-304,Claude Bernard University Lyon 1,8-12,,14.4,0.0,0.0,13.7,37.7,18.6,2007
1210,203-304,Complutense University of Madrid,2,,18.6,0.0,0.0,10.5,40.1,19.6,2007
1211,203-304,Dalhousie University,8-17,,0.0,0.0,14.8,18.4,34.4,18.8,2007
1212,203-304,Ecole Polytechnique,8-12,,21.2,0.0,7.4,14.4,29.6,16.6,2007
1213,203-304,George Mason University,89-117,,0.0,32.2,10.5,1.6,25.6,18.5,2007
1214,203-304,Georgetown University,89-117,,0.0,0.0,10.5,9.8,33.4,18.9,2007
1215,203-304,Hiroshima University,10,,0.0,0.0,7.4,9.6,38.3,18.3,2007
1216,203-304,Keio University,10,,0.0,0.0,10.5,11.7,34.4,17.0,2007
1217,203-304,Kobe University,10,,0.0,0.0,12.8,13.2,33.0,16.5,2007
1218,203-304,Korea Advanced Institute of Science and Technology,2,,0.0,0.0,0.0,12.5,39.4,27.3,2007
1219,203-304,Lancaster University,24-33,,0.0,0.0,16.6,10.8,28.3,24.9,2007
1220,203-304,Laval University,8-17,,0.0,0.0,16.6,9.8,37.4,19.0,2007
1221,203-304,London School of Hygiene and Tropical Medicine,24-33,,10.2,0.0,0.0,10.7,28.3,40.7,2007
1222,203-304,Louisiana State University - Baton Rouge,89-117,,0.0,0.0,16.6,11.9,38.0,15.8,2007
1223,203-304,Macquarie University,8,,0.0,0.0,12.8,16.4,24.9,21.8,2007
1224,203-304,Medical University of Vienna,2,,13.2,15.5,7.4,6.4,31.1,16.8,2007
1225,203-304,Monash University,8,,0.0,0.0,7.4,15.5,44.0,19.0,2007
1226,203-304,Nanjing University,2-6,,0.0,0.0,0.0,12.0,46.2,17.8,2007
1227,203-304,National and Kapodistrian University of Athens,1,,0.0,0.0,10.5,5.6,41.3,19.4,2007
1228,203-304,Newcastle University,24-33,,0.0,0.0,10.5,15.6,38.0,22.0,2007
1229,203-304,Norwegian University of Science and Technology,2,,17.6,0.0,10.5,16.4,32.9,18.1,2007
1230,203-304,Paul Sabatier University (Toulouse 3),8-12,,0.0,6.3,0.0,17.2,32.9,17.0,2007
1231,203-304,Peking University,2-6,,0.0,0.0,0.0,11.4,54.4,16.0,2007
1232,203-304,Polytechnic Institute of Milan,6,,10.2,15.5,0.0,8.1,27.7,13.7,2007
1233,203-304,Queen's University,8-17,,0.0,0.0,16.6,17.1,35.4,19.2,2007
1234,203-304,Queen's University,24-33,,22.0,0.0,0.0,12.8,31.0,21.3,2007
1235,203-304,Rensselaer Polytechnic Institute,89-117,,15.6,0.0,18.2,13.1,27.1,24.8,2007
1236,203-304,Royal Institute of Technology,5-9,,0.0,15.5,0.0,8.1,36.5,17.2,2007
1237,203-304,RWTH Aachen University,15-22,,5.9,0.0,7.4,7.7,38.8,18.2,2007
1238,203-304,Shanghai Jiao Tong University,2-6,,0.0,0.0,0.0,8.8,49.4,15.9,2007
1239,203-304,State University of Campinas,2,,0.0,0.0,7.4,4.1,42.0,19.3,2007
1240,203-304,State University of New York at Albany,89-117,,0.0,0.0,21.0,6.0,28.9,19.3,2007
1241,203-304,State University of New York at Buffalo,89-117,,0.0,0.0,16.6,10.0,36.6,15.5,2007
1242,203-304,Swedish University of Agricultural Sciences,5-9,,0.0,0.0,12.8,17.4,28.3,14.3,2007
1243,203-304,Syracuse University,89-117,,0.0,0.0,16.6,15.0,26.0,15.4,2007
1244,203-304,Technical University of Berlin,15-22,,22.0,0.0,12.8,6.2,27.0,15.5,2007
1245,203-304,The Chinese University of Hong Kong,1-4,,0.0,0.0,14.8,4.0,42.0,21.3,2007
1246,203-304,The George Washington University,89-117,,14.4,0.0,10.5,12.3,32.7,17.5,2007
1247,203-304,The Hong Kong University of Science and Technology,1-4,,0.0,0.0,16.6,2.7,33.6,23.1,2007
1248,203-304,The University of Auckland,1,,16.6,0.0,10.5,14.2,36.1,18.1,2007
1249,203-304,The University of Calgary,8-17,,0.0,0.0,10.5,12.6,43.3,20.9,2007
1250,203-304,The University of Dundee,24-33,,0.0,0.0,14.8,15.4,26.5,25.5,2007
1251,203-304,The University of Hong Kong,1-4,,0.0,0.0,12.8,11.1,43.9,20.9,2007
1252,203-304,The University of New Mexico - Albuquerque,89-117,,0.0,0.0,10.5,18.3,36.8,18.9,2007
1253,203-304,The University of Reading,24-33,,0.0,0.0,14.8,19.7,29.2,27.0,2007
1254,203-304,The University of Texas Health Science Center at San Antonio,89-117,,0.0,0.0,22.2,8.7,29.2,17.0,2007
1255,203-304,The University of Texas Medical Branch at Galveston,89-117,,0.0,0.0,18.2,9.3,29.6,16.2,2007
1256,203-304,Trinity College Dublin,1,,14.4,14.1,7.4,9.6,27.1,15.5,2007
1257,203-304,Umea University,5-9,,0.0,0.0,14.8,14.3,32.9,13.7,2007
1258,203-304,University of Aberdeen,24-33,,0.0,0.0,12.8,16.0,33.9,26.5,2007
1259,203-304,University of Alaska - Fairbanks,89-117,,0.0,0.0,14.8,16.9,20.3,22.9,2007
1260,203-304,University of Antwerp,5,,0.0,0.0,12.8,14.3,32.8,25.1,2007
1261,203-304,University of Bath,24-33,,0.0,0.0,10.5,18.5,28.4,26.6,2007
1262,203-304,University of Bochum,15-22,,0.0,0.0,12.8,16.4,37.8,19.5,2007
1263,203-304,University of Bologna,6,,0.0,0.0,12.8,10.0,46.9,15.3,2007
1264,203-304,University of Cape Town,1,,23.5,0.0,10.5,12.7,32.4,18.0,2007
1265,203-304,University of Colorado Health Science Center,89-117,,0.0,0.0,16.6,17.3,35.4,19.3,2007
1266,203-304,University of Erlangen-Nuremberg,15-22,,0.0,0.0,16.6,11.3,40.6,20.4,2007
1267,203-304,University of Florence,6,,0.0,0.0,16.6,13.9,38.0,15.3,2007
1268,203-304,University of Gothenburg,5-9,,0.0,15.5,0.0,15.2,38.3,13.1,2007
1269,203-304,University of Guelph,8-17,,0.0,0.0,16.6,12.4,33.9,17.9,2007
1270,203-304,University of Halle-Wittenberg,15-22,,5.9,8.9,7.4,7.7,29.0,14.6,2007
1271,203-304,University of Houston,89-117,,0.0,0.0,21.0,10.8,33.5,16.7,2007
1272,203-304,University of Kansas - Lawrence,89-117,,14.4,0.0,12.8,16.7,32.3,15.2,2007
1273,203-304,University of Karlsruhe,15-22,,5.9,0.0,10.5,12.8,30.8,15.9,2007
1274,203-304,University of Kentucky,89-117,,13.2,0.0,7.4,11.9,42.6,17.4,2007
1275,203-304,University of Lausanne,7,,0.0,0.0,12.8,18.1,28.1,19.2,2007
1276,203-304,University of Leipzig,15-22,,16.6,15.5,0.0,9.8,36.2,19.0,2007
1277,203-304,University of Liege,5,,10.2,0.0,10.5,11.0,29.6,23.5,2007
1278,203-304,University of Manitoba,8-17,,0.0,0.0,16.6,8.4,33.4,17.2,2007
1279,203-304,University of Marburg,15-22,,16.6,0.0,14.8,10.9,31.4,17.2,2007
1280,203-304,University of Medicine and Dentistry New Jersey,89-117,,0.0,0.0,23.4,12.1,34.1,19.4,2007
1281,203-304,University of Missouri - Columbia,89-117,,11.8,0.0,7.4,15.0,41.0,14.5,2007
1282,203-304,University of Montpellier 2,8-12,,13.2,0.0,12.8,17.3,31.3,17.6,2007
1283,203-304,University of Notre Dame,89-117,,15.6,0.0,10.5,16.6,31.0,18.3,2007
1284,203-304,University of Oregon,89-117,,13.2,0.0,10.5,20.6,26.7,17.1,2007
1285,203-304,University of Ottawa,8-17,,0.0,0.0,7.4,12.8,38.9,18.7,2007
1286,203-304,University of Saskatchewan,8-17,,11.8,0.0,16.6,5.7,33.1,17.3,2007
1287,203-304,University of Science and Technology of China,2-6,,0.0,0.0,0.0,9.5,44.2,21.7,2007
1288,203-304,University of South Carolina - Columbia,89-117,,0.0,0.0,16.6,14.2,34.5,16.9,2007
1289,203-304,University of South Florida,89-117,,0.0,0.0,14.8,9.6,36.4,13.6,2007
1290,203-304,University of Southern Denmark,4,,0.0,0.0,14.8,14.3,29.2,16.1,2007
1291,203-304,University of the Mediterranean (Aix-Marseille 2),8-12,,0.0,0.0,14.8,17.7,26.1,15.7,2007
1292,203-304,University of Valencia,2,,0.0,0.0,7.4,8.2,38.7,18.1,2007
1293,203-304,University of Vermont,89-117,,16.6,0.0,14.8,10.9,29.3,20.6,2007
1294,203-304,University of Victoria,8-17,,0.0,0.0,12.8,14.5,30.4,16.2,2007
1295,203-304,University of Warwick,24-33,,0.0,0.0,12.8,13.6,34.2,22.2,2007
1296,203-304,University of York,24-33,,0.0,0.0,14.8,13.7,33.4,26.9,2007
1297,203-304,Wake Forest University,89-117,,0.0,0.0,10.5,10.9,33.2,23.2,2007
1298,203-304,Washington State University - Pullman,89-117,,0.0,0.0,21.0,13.7,32.2,16.3,2007
1299,203-304,Wayne State University,89-117,,0.0,0.0,7.4,9.0,39.8,18.7,2007
1300,203-304,Western University,8-17,,0.0,0.0,10.5,14.7,42.4,20.8,2007
1301,203-304,Yeshiva University,89-117,,0.0,0.0,12.8,20.3,34.8,20.6,2007
1302,203-304,Yonsei University,2,,0.0,0.0,7.4,10.5,43.6,15.2,2007
1303,203-304,Zhejiang University,2-6,,0.0,0.0,0.0,5.7,56.3,15.8,2007
1304,305-402,Aristotle University of Thessaloniki,2,,0.0,0.0,7.4,2.0,36.9,17.0,2007
1305,305-402,Auburn University,118-140,,0.0,0.0,7.4,5.9,29.7,12.1,2007
1306,305-402,Autonomous University of Barcelona,5,,0.0,0.0,0.0,4.5,38.2,17.3,2007
1307,305-402,Bar-Ilan University,6,,0.0,0.0,12.8,9.5,28.4,14.7,2007
1308,305-402,Brigham Young University,118-140,,11.8,0.0,10.5,4.1,25.3,9.5,2007
1309,305-402,Carleton University,18,,0.0,0.0,12.8,4.9,25.8,13.2,2007
1310,305-402,Clemson University,118-140,,0.0,0.0,12.8,7.7,28.3,13.6,2007
1311,305-402,Technical University Darmstadt,23-36,,10.2,0.0,7.4,8.2,28.5,14.2,2007
1312,305-402,Dresden University of Technology,23-36,,0.0,0.0,7.4,7.9,34.2,16.2,2007
1313,305-402,Ecole National Superieure Mines - Paris,13-18,,17.6,25.3,0.0,3.5,10.2,13.6,2007
1314,305-402,Eindhoven University of Technology,10,,0.0,0.0,0.0,9.8,31.9,16.4,2007
1315,305-402,Eotvos Lorand University,1,,18.6,0.0,0.0,12.0,23.2,13.2,2007
1316,305-402,Federal University of Rio de Janeiro,3,,0.0,0.0,0.0,10.3,37.6,17.6,2007
1317,305-402,Flinders University,10,,18.6,0.0,7.4,6.2,22.6,20.8,2007
1318,305-402,Fudan University,7,,0.0,0.0,0.0,7.6,44.9,15.7,2007
1319,305-402,Henri Poincare University (Nancy 1),13-18,,14.4,18.9,0.0,2.2,24.6,14.7,2007
1320,305-402,Indian Institute of Science,1,,0.0,0.0,12.8,8.7,32.5,16.2,2007
1321,305-402,Indian Institute of Technology Kharagpur,1,,0.0,0.0,10.5,4.9,28.3,13.8,2007
1322,305-402,Indiana University-Purdue University at Indianapolis,118-140,,0.0,0.0,0.0,7.6,38.3,11.8,2007
1323,305-402,Industrial Physics and Chemistry Higher Educational Institution - Paris,13-18,,10.2,18.9,0.0,11.0,17.2,13.0,2007
1324,305-402,Jagiellonian University,1,,13.2,0.0,7.4,2.9,31.5,15.2,2007
1325,305-402,Jilin University,7,,0.0,0.0,0.0,6.2,37.7,10.4,2007
1326,305-402,Kanazawa University,13-18,,0.0,0.0,10.5,4.8,28.6,17.1,2007
1327,305-402,Kansas State University,118-140,,0.0,0.0,14.8,10.3,29.9,15.5,2007
1328,305-402,Korea University,4,,0.0,0.0,0.0,1.6,40.5,15.7,2007
1329,305-402,Massey University,2,,0.0,0.0,10.5,7.3,25.4,14.5,2007
1330,305-402,Medical College of Wisconsin,118-140,,0.0,0.0,7.4,6.0,28.7,13.6,2007
1331,305-402,Medical University of South Carolina,118-140,,0.0,0.0,14.8,5.7,30.5,15.5,2007
1332,305-402,Nanyang Technological University,2,,0.0,0.0,0.0,3.3,43.6,19.7,2007
1333,305-402,National Cheng Kung University,2,,0.0,0.0,0.0,1.6,42.6,16.7,2007
1334,305-402,National Chiao Tung University,2,,0.0,0.0,7.4,4.9,36.0,20.6,2007
1335,305-402,National Tsing Hua University,2,,15.6,0.0,0.0,7.4,35.0,21.2,2007
1336,305-402,Niigata University,13-18,,0.0,0.0,12.8,7.0,28.8,17.2,2007
1337,305-402,Okayama University,13-18,,0.0,0.0,7.4,11.4,34.1,17.7,2007
1338,305-402,Pohang University of Science and Technology,4,,0.0,0.0,7.4,7.9,27.8,26.5,2007
1339,305-402,Polytechnic University of Valencia,5,,0.0,0.0,7.4,9.8,26.2,13.0,2007
